product_id,product_name,brand,product_category,baby_age_months,issue_type,return_reason,severity,frequency_score,risk_tag,report_date,resolution_status
p042,Baby Food Pouches Mixed Veg,VegPure,Food,5,contamination,Reports of mold contamination inside pouches,8,7,high,2026-04-20,returned
p043,Bottle Brush Nylon,CleanBottle,Feeding,0,material,Nylon bristles shed into bottles contaminating formula,7,5,high,2026-01-30,returned
p044,Chest Sleeping Wedge,AntiReflux,Accessories,1,safety,Inclined sleeping not recommended AAP safe sleep guidelines,9,6,high,2026-03-03,returned
p045,Clip On Fan Stroller,CoolBreeze,Accessories,3,electrical,Fan blades accessible to infant fingers,8,4,high,2026-04-10,open
p046,Teething Amber Necklace,AmberHealer,Teething,3,choking_hazard,Necklace poses strangulation and choking risk per AAP warning,9,8,high,2026-02-25,returned
p047,Baby Led Weaning Set,FirstFoods,Feeding,4,age_mismatch,BLW should not start before 6 months choking risk,7,6,high,2026-03-14,returned
p048,Musical Plush Bear,TunePlay,Toys,2,volume,Toy speaker produces 85db plus sounds harmful to infant hearing,8,5,high,2026-02-08,returned
p049,Baby Swimming Float Neck,AquaBaby,Accessories,2,safety,Neck floats not recommended no evidence of safety benefit,8,3,high,2026-04-18,returned
p050,Hypoallergenic Baby Wipes,GentleClean,Hygiene,4,skin_irritation,Wipes contain preservative linked to contact allergy,6,5,medium,2026-03-22,open
p051,Ergonomic Baby Spoon,ErgiFeed,Feeding,4,material_defect,Handle paint chips off into food,7,4,high,2026-02-16,returned
p052,Baby Bath Support,SplashSafe,Health,1,safety,Support can tip when wet risk of submersion,9,5,high,2026-03-29,returned
p053,Newborn Hat Knit,WarmHead,Clothing,0,sizing,Too small causes restriction marks on newborn head,5,3,medium,2026-01-18,exchanged
p054,Soy Based Formula Stage 1,SoyStart,Feeding,2,ingredient,Soy formula not recommended before consulting pediatrician,6,5,medium,2026-02-22,open
p055,Portable High Chair Clip On,TableSeat,Accessories,7,weight_limit,Rated for 12kg but unstable at 10kg,8,4,high,2026-04-03,returned
